n_predictions,mae,mse,rmse,mape,smape,rmsle,mean_forecast_error,median_absolute_error,direction_accuracy,up_accuracy,down_accuracy,pearson_corr,spearman_corr,hit_ratio,information_coefficient,model,horizon
5,9.026889038085937,100.51528170634992,10.025730981147955,5.6015313216037255,5.798132223890544,0.06356049432044046,-9.026889038085937,10.474090576171875,0.0,0.0,,0.9299552587979532,0.8999999999999998,0.0,0.09999999999999999,Kronos,1
15,12.464474487304688,184.23858073147323,13.573451319818156,7.860808869309301,8.243138904515117,0.08931784512749681,-12.464474487304688,13.155685424804688,33.33333333333333,0.0,100.0,0.8543680631517702,0.6428571428571428,33.33333333333333,0.36428571428571427,Kronos,3
25,15.114830932617188,251.53954193004407,15.859998169295105,9.5423711115555,10.062151308557588,0.10429441242381056,-15.114830932617188,15.1314697265625,48.0,0.0,100.0,0.8722058457489709,0.83,48.0,0.726153846153846,Kronos,5
35,15.229657854352679,290.20383728750585,17.035370183459644,9.588808757761031,10.182461328667848,0.11226317887760316,-15.229657854352679,14.7381591796875,51.42857142857142,5.555555555555555,100.0,0.6663708642160096,0.6170868347338937,51.42857142857142,0.35182072829131655,Kronos,7
70,20.152487291608537,500.20001807806466,22.36515186798571,12.615561078798606,13.638084514050822,0.1492771895080122,-20.152487291608537,17.664466857910156,54.285714285714285,0.0,100.0,0.5206285436541804,0.4948166811201601,54.285714285714285,0.2610970168839122,Kronos,14
150,25.163513641357422,758.5838947810477,27.54240176130338,15.620993416046819,17.1752534262566,0.18549681981708757,-25.163513641357422,24.42236328125,48.66666666666667,0.0,100.0,0.438509998095229,0.4501962318202244,48.66666666666667,0.09811102715676254,Kronos,30
5,1.9260009765625,6.450057614780962,2.5396963627136535,1.2180544117927365,1.2305954271150894,0.015842326503120098,-1.9260009765625,1.7100067138671875,0.0,0.0,,0.9884976633928165,0.9999999999999999,0.0,,Naive (last close),1
15,2.509333292643229,8.575115046417341,2.9283297366275782,1.5864623753091347,1.6009776267783327,0.018571023551867287,-1.852000935872396,2.19000244140625,40.0,10.0,100.0,0.9807884888660419,0.9274260335029676,40.0,0.5055381123800491,Naive (last close),3
25,3.00080078125,13.051321174353362,3.6126612316066065,1.8980510852970593,1.9023963196736504,0.02249115050400844,-0.86320068359375,2.8899993896484375,44.0,15.384615384615385,75.0,0.9496034987799514,0.8825226081218281,44.0,0.05559887001593019,Naive (last close),5
35,4.119143240792411,29.224830948002637,5.405999532741622,2.5743021001685666,2.5791374571951113,0.032888497892348656,-0.5871433803013393,3.8000030517578125,40.0,22.22222222222222,58.82352941176471,0.8713686972118684,0.8181636490963656,40.0,-0.22552616851763133,Naive (last close),7
70,5.8667144775390625,60.67851422594062,7.789641469666021,3.651330937274667,3.661528549915807,0.047378975354348415,-0.6247148786272322,4.5749969482421875,47.14285714285714,37.5,55.26315789473685,0.7517411600200028,0.6809336122090567,47.14285714285714,0.01751684338658961,Naive (last close),14
150,7.501732584635417,88.50315986917664,9.407611804766216,4.681723729064364,4.723199443238523,0.058221519333110976,-1.6349334716796875,6.045005798339844,46.0,37.66233766233766,54.794520547945204,0.6850310397015847,0.5815788070170979,46.0,-0.01728288388565133,Naive (last close),30
5,1.7224346740169267,5.73002387464515,2.393746827600018,1.0890826327214471,1.1001618801690867,0.014888826883138521,-1.7224346740169267,1.542820234390689,100.0,100.0,,0.9884163169573121,0.9999999999999999,100.0,-0.09999999999999999,Drift,1
15,2.335956543272359,7.453304314428676,2.730074049257396,1.4724731693120734,1.483046801444082,0.01715494073068263,-1.444868330781251,2.607232796339815,73.33333333333333,60.0,100.0,0.9800263414666842,0.9178571428571428,73.33333333333333,0.46071428571428563,Drift,3
25,2.9669184344915234,13.472894529917005,3.6705441735411664,1.876336782236866,1.8725764400236218,0.022611323676013022,-0.2525017759570335,2.6798479908491117,60.0,53.84615384615385,66.66666666666666,0.9449956435236305,0.8453846153846154,60.0,-0.016153846153846154,Drift,5
35,4.201979826605908,30.490848629602727,5.521851920289309,2.6339716240519775,2.6225139217609708,0.0334206383348863,0.2271218298809499,3.014073706133189,51.42857142857142,50.0,52.94117647058824,0.8652890836988312,0.7773109243697478,51.42857142857142,-0.23753501400560226,Drift,7
70,6.197416815794901,63.41349078752408,7.9632588045048545,3.886997482505667,3.8551416339591746,0.048382356662909826,0.9020323904645575,3.960349123177494,51.42857142857142,56.25,47.368421052631575,0.7447314503600748,0.654594126471785,51.42857142857142,0.019333391654273464,Drift,14
150,7.714885863939183,92.31484266987461,9.608061337745227,4.870137001862427,4.803401578807108,0.05933522230565995,1.5203442177766775,6.288215391277774,48.66666666666667,55.84415584415584,41.0958904109589,0.6759650343460119,0.6023227802307604,48.66666666666667,-0.00850704475754478,Drift,30
5,5.406601409912111,43.33741188787544,6.583115667210735,3.4567475588356973,3.544873249781423,0.04233360081557106,-5.328000946044921,5.34100341796875,20.0,20.0,,0.9507341388478479,0.8999999999999998,20.0,-0.8999999999999998,Moving Average (20d),1
15,6.105933074951173,46.43007256398907,6.813961591026843,3.8901906033177744,3.9809924837985315,0.043930543403154276,-5.2540009053548165,6.134996032714838,40.0,20.0,80.0,0.9445073486275216,0.9383369280147672,40.0,0.2964285714285714,Moving Average (20d),3
25,6.010200042724611,45.65550714291321,6.756885905719676,3.814615338745882,3.8865727019786624,0.04310707641791644,-4.265200653076171,5.926496887207037,44.0,15.384615384615385,75.0,0.912763628222227,0.945279771366047,44.0,-0.02692307692307692,Moving Average (20d),5
35,6.685400412423271,65.79403608480291,8.1113522969233,4.187707965015712,4.268095746000557,0.050587396561028224,-3.98914334978376,5.926496887207037,40.0,11.11111111111111,70.58823529411765,0.8168957073864577,0.9041808542580864,40.0,-0.25994397759103643,Moving Average (20d),7
70,7.943686370849608,103.33801113540201,10.165530538806227,4.9176893114721825,5.026287799332492,0.06253679899176047,-4.0267148481096555,5.8807525634765625,48.57142857142857,25.0,68.42105263157895,0.6844655806143722,0.7969223038628753,48.57142857142857,0.021327967806841045,Moving Average (20d),14
150,9.398120208740234,136.37431197201275,11.677941255718524,5.79839016732884,5.971800559083273,0.07239931184668072,-5.036933441162109,6.899505233764643,44.666666666666664,28.57142857142857,61.64383561643836,0.6292398860050463,0.6549565898567691,44.666666666666664,-0.029087566714240756,Moving Average (20d),30
5,5.201370919437716,42.10573827051381,6.488893455013251,3.208799760505317,3.259629030766067,0.04016294611916657,-2.4405698209428466,5.2718566679010905,40.0,40.0,,0.9163891749244615,0.7999999999999999,40.0,-0.9999999999999999,Linear Regression,1
15,5.840328757160715,48.87802696222789,6.991282211599521,3.6085319448486177,3.6412971872637074,0.04267699406229857,-2.083455097254654,5.2718566679010905,53.333333333333336,40.0,80.0,0.910819663881814,0.7964285714285713,53.333333333333336,0.06428571428571428,Linear Regression,3
25,6.3777506946967355,62.657362787643514,7.915640390242821,3.949463674785759,3.9457490272504376,0.047530663587751924,-0.8115401619779254,5.353849053142085,44.0,30.76923076923077,58.333333333333336,0.8636283911758021,0.7369230769230769,44.0,-0.24461538461538462,Linear Regression,5
35,7.65024052264514,97.90435302967293,9.89466285578609,4.724484670722794,4.702526679056659,0.05900178790139011,-0.25236817568743064,5.683703403838564,40.0,27.77777777777778,52.94117647058824,0.7431049230464555,0.6291316526610645,40.0,-0.396358543417367,Linear Regression,7
70,10.132434193276715,165.39314099958276,12.860526466656905,6.268940711395284,6.206938104345058,0.07670238401984833,0.7009617164799717,8.20249829187631,47.14285714285714,40.625,52.63157894736842,0.5732285204530017,0.4134582578957783,47.14285714285714,-0.05789519727058,Linear Regression,14
150,13.085001932909492,254.4844604306214,15.952569085593122,8.127851721486227,7.983883600896953,0.09522346090709088,1.9556605874121897,13.809059591912558,46.0,45.45454545454545,46.57534246575342,0.46510740454770916,0.2736933805679755,46.0,-0.05808791501844526,Linear Regression,30
5,2.0348229941195486,7.270186930279616,2.6963284166213164,1.286587919335963,1.300746244989491,0.016839492075069084,-2.0348229941195486,1.6951840443068988,40.0,40.0,,0.9868702679522834,0.9999999999999999,40.0,-0.6,"ARIMA(5,1,0)",1
15,2.581555999733143,9.07995624884221,3.013296574989294,1.633475574468731,1.6492052512829078,0.019136408732713207,-1.9517913265788556,2.124246353946461,53.333333333333336,30.0,100.0,0.9802651152615597,0.8928571428571428,53.333333333333336,0.4392857142857142,"ARIMA(5,1,0)",3
25,3.0394994408493767,13.261889893544973,3.641687780898436,1.9236684699358173,1.9296451621119406,0.022732833896473955,-0.9745359831399424,2.8751592058482913,56.00000000000001,30.76923076923077,83.33333333333334,0.9495935209925084,0.8738461538461537,56.00000000000001,0.05846153846153846,"ARIMA(5,1,0)",5
35,4.138087188901495,29.29754676330709,5.412720828133213,2.5866890814207064,2.593801303629457,0.03298036115156983,-0.7087769425133453,3.94926441288041,48.57142857142857,33.33333333333333,64.70588235294117,0.8717587519317275,0.8204481792717087,48.57142857142857,-0.2224089635854342,"ARIMA(5,1,0)",7
70,5.871639564760581,60.697756552065506,7.790876494468739,3.6542254548833366,3.6676905709343317,0.0474207696440629,-0.7586226597997698,4.541442826421431,51.42857142857142,43.75,57.89473684210527,0.7523900632182556,0.6790891356146096,51.42857142857142,0.02020820575627679,"ARIMA(5,1,0)",14
150,7.516113536864497,88.8268842059511,9.424801547298017,4.690101684337244,4.7358302214693575,0.05835653479470909,-1.775493258909198,6.02446145689423,47.333333333333336,38.961038961038966,56.16438356164384,0.6855658488274193,0.57667352626698,47.333333333333336,-0.017069203075692253,"ARIMA(5,1,0)",30
